model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,dementie_0002_0007,10.5326,1461,1557,0,147.83,0.00623
glm-5.1,COPD_0008_0001,9.6482,1980,832,0,86.23,0.0045
glm-5.1,dementie_0002_0001,50.0255,1680,1984,0,39.66,0.00776
glm-5.1,chronische nierschade_0013_0001,55.5053,1224,2033,0,36.63,0.00746
glm-5.1,hand-en-polsklachten_0008_0002,26.1429,2956,1493,0,57.11,0.0075
glm-5.1,COPD_0004_0001,11.8486,3188,547,0,46.17,0.00481
glm-5.1,astma_bij_volwassenen_0008_0003,23.7355,2998,1531,0,64.5,0.00765
glm-5.1,angst_0002_0002,19.4226,1169,2768,0,142.51,0.00967
glm-5.1,diabetes_0009_0014,9.1353,7789,648,0,70.93,0.00963
glm-5.1,hand-en-polsklachten_0010_0001,20.2496,1574,745,0,36.79,0.00384
glm-5.1,COPD_0007_0002,30.5854,4366,3516,0,114.96,0.01511
glm-5.1,dementie_0007_0001,13.7114,705,843,0,61.48,0.00329
glm-5.1,astma_bij_volwassenen_0008_0002,27.3598,2731,764,0,27.92,0.00503
glm-5.1,hand-en-polsklachten_0002_0001,19.1163,1988,1548,0,80.98,0.00672
glm-5.1,chronische nierschade_0015_0001,22.1538,12736,2100,0,94.79,0.01895
glm-5.1,angst_0005_0001,35.0466,2126,2847,0,81.23,0.01085
glm-5.1,astma_bij_volwassenen_0011_0003,12.3349,3528,561,0,45.48,0.00519
glm-5.1,diabetes_0009_0011,44.6281,1217,1706,0,38.23,0.00645
glm-5.1,dementie_0006_0001,18.5139,1944,1104,0,59.63,0.00531
glm-5.1,hand-en-polsklachten_0017_0001,8.488,1105,895,0,105.44,0.00384
glm-5.1,angst_0003_0001,22.0951,1380,1005,0,45.49,0.00445
glm-5.1,diabetes_0009_0007,40.7019,1952,4112,0,101.03,0.01458
glm-5.1,COPD_0006_0001,30.3419,2057,2289,0,75.44,0.00907
glm-5.1,angst_0006_0003,14.9919,3018,893,0,59.57,0.00571
glm-5.1,dementie_0010_0001,28.0157,1402,1392,0,49.69,0.00566
glm-5.1,COPD_0004_0002,17.2436,3821,594,0,34.45,0.00557
glm-5.1,influenza_0007_0001,43.6675,1268,1820,0,41.68,0.00685
glm-5.1,angst_0009_0001,7.6725,1350,307,0,40.01,0.00227
glm-5.1,chronische nierschade_0010_0002,26.4433,2072,1772,0,67.01,0.00749
glm-5.1,astma_bij_volwassenen_0012_0002,39.4167,1715,2046,0,51.91,0.00798
glm-5.1,diabetes_0010_0001,8.4407,1601,428,0,50.71,0.00289
glm-5.1,astma_bij_volwassenen_0006_0002,20.7429,1505,1259,0,60.7,0.00535
glm-5.1,hand-en-polsklachten_0001_0001,31.7364,2054,1076,0,33.9,0.00533
glm-5.1,chronische nierschade_0009_0001,12.6841,935,1441,0,113.61,0.00535
glm-5.1,diabetes_0009_0008,9.9437,1140,565,0,56.82,0.00286
glm-5.1,hartfalen_0008_0001,17.5938,1523,907,0,51.55,0.00429
glm-5.1,dementie_0003_0002,14.2067,768,865,0,60.89,0.00342
glm-5.1,hand-en-polsklachten_0010_0003,24.2766,1332,1130,0,46.55,0.00479
glm-5.1,dementie_0001_0001,56.5749,2913,3139,0,55.48,0.01252
glm-5.1,diabetes_0006_0002,13.7011,1555,902,0,65.83,0.0043
glm-5.1,astma_bij_volwassenen_0011_0001,20.8277,1640,1286,0,61.74,0.00557
glm-5.1,hartfalen_0013_0001,23.7242,724,1851,0,78.02,0.00641
glm-5.1,dementie_0005_0001,14.7284,3127,908,0,61.65,0.00586
glm-5.1,hand-en-polsklachten_0012_0001,18.9531,793,1492,0,78.72,0.00537
glm-5.1,influenza_0006_0001,13.2094,915,882,0,66.77,0.00361
glm-5.1,astma_bij_volwassenen_0003_0001,18.4205,2379,930,0,50.49,0.0052
glm-5.1,hartfalen_0007_0003,11.6261,1353,1120,0,96.33,0.00478
glm-5.1,hand-en-polsklachten_0014_0001,17.2283,1055,925,0,53.69,0.00388
glm-5.1,depressie_0003_0001,16.5267,1737,1178,0,71.28,0.00533
glm-5.1,astma_bij_volwassenen_0003_0002,10.9965,2398,600,0,54.56,0.0042
glm-5.1,diabetes_0011_0001,10.0551,4039,437,0,43.46,0.0053
glm-5.1,depressie_0009_0003,12.2798,1194,794,0,64.66,0.00362
glm-5.1,hand-en-polsklachten_0010_0004,14.2983,1289,1664,0,116.38,0.00639
glm-5.1,hartfalen_0003_0001,17.493,1354,641,0,36.64,0.0033
glm-5.1,influenza_0009_0002,34.1056,2938,1244,0,36.47,0.00671
glm-5.1,astma_bij_volwassenen_0006_0001,17.6804,2153,1015,0,57.41,0.00524
glm-5.1,angst_0008_0007,29.6717,1307,1084,0,36.53,0.00462
glm-5.1,diabetes_0009_0001,20.2113,1526,1974,0,97.67,0.00758
glm-5.1,hartfalen_0007_0005,23.4696,5633,1918,0,81.72,0.01143
glm-5.1,diabetes_0009_0013,8.465,513,747,0,88.25,0.0028
glm-5.1,diabetes_0009_0010,7.1671,3858,517,0,72.13,0.00537
glm-5.1,influenza_0004_0001,38.8893,1663,2198,0,56.52,0.0084
glm-5.1,hand-en-polsklachten_0013_0001,27.4824,979,1372,0,49.92,0.00519
glm-5.1,angst_0008_0001,13.045,2613,1104,0,84.63,0.00596
glm-5.1,depressie_0009_0004,27.8161,2451,1801,0,64.75,0.00795
glm-5.1,chronische nierschade_0003_0001,6.614,1820,414,0,62.59,0.00306
glm-5.1,angst_0004_0001,11.5813,1645,604,0,52.15,0.00347
glm-5.1,angst_0008_0006,15.1834,931,684,0,45.05,0.00302
glm-5.1,angst_0002_0001,3.0545,1486,490,0,160.42,0.00297
glm-5.1,hand-en-polsklachten_0015_0001,14.9093,1111,823,0,55.2,0.00362
glm-5.1,depressie_0009_0002,10.8924,1733,726,0,66.65,0.00393
glm-5.1,diabetes_0009_0017,9.4166,1683,416,0,44.18,0.00293
glm-5.1,astma_bij_volwassenen_0014_0003,13.5911,1595,1118,0,82.26,0.00501
glm-5.1,hand-en-polsklachten_0004_0001,8.8889,1650,419,0,47.14,0.00291
glm-5.1,astma_bij_volwassenen_0013_0001,49.0378,2462,2482,0,50.61,0.01006
glm-5.1,chronische nierschade_0008_0001,21.9958,1504,1414,0,64.29,0.00583
glm-5.1,diabetes_0003_0001,17.6385,1743,1955,0,110.84,0.00773
glm-5.1,astma_bij_volwassenen_0001_0001,24.5413,2153,1224,0,49.88,0.00588
glm-5.1,hartfalen_0010_0001,19.7213,1322,1144,0,58.01,0.00482
glm-5.1,depressie_0009_0001,14.8579,1381,831,0,55.93,0.00391
glm-5.1,depressie_0008_0001,39.6616,2016,2007,0,50.6,0.00816
glm-5.1,astma_bij_volwassenen_0008_0006,17.0915,113,953,0,55.76,0.00305
glm-5.1,angst_0008_0005,18.1628,231,1524,0,83.91,0.00492
glm-5.1,influenza_0009_0001,3.8058,1519,717,0,188.4,0.0037
glm-5.1,diabetes_0009_0002,14.4048,2788,653,0,45.33,0.00474
glm-5.1,chronische nierschade_0004_0001,14.3147,3155,1280,0,89.42,0.00703
glm-5.1,COPD_0010_0002,10.2728,1929,1541,0,150.01,0.00664
glm-5.1,hand-en-polsklachten_0001_0002,48.3565,1177,1516,0,31.35,0.00582
glm-5.1,astma_bij_volwassenen_0008_0004,11.9585,708,625,0,52.26,0.00262
glm-5.1,hand-en-polsklachten_0008_0003,27.4577,3166,1801,0,65.59,0.00865
glm-5.1,chronische nierschade_0014_0001,8.7734,2727,1151,0,131.19,0.00622
glm-5.1,diabetes_0009_0009,12.9518,5511,1104,0,85.24,0.0088
glm-5.1,depressie_0009_0005,33.1642,1312,1779,0,53.64,0.00677
glm-5.1,hand-en-polsklachten_0003_0001,12.9101,1008,830,0,64.29,0.00354
glm-5.1,COPD_0007_0001,10.4773,1503,802,0,76.55,0.00394
glm-5.1,depressie_0009_0006,18.4108,3089,792,0,43.02,0.00547
glm-5.1,chronische nierschade_0008_0002,12.4946,11549,611,0,48.9,0.0132
glm-5.1,astma_bij_volwassenen_0014_0001,19.4543,799,1276,0,65.59,0.00471
glm-5.1,influenza_0010_0001,41.134,973,2212,0,53.78,0.00777
glm-5.1,influenza_0003_0001,15.1968,1613,1046,0,68.83,0.0048
glm-5.1,COPD_0012_0002,11.2141,989,601,0,53.59,0.00282
glm-5.1,depressie_0007_0001,15.1102,2514,847,0,56.05,0.00507
glm-5.1,diabetes_0013_0001,27.9636,1921,1365,0,48.81,0.00609
glm-5.1,depressie_0008_0002,10.954,1585,1048,0,95.67,0.00478
glm-5.1,influenza_0002_0001,11.4035,113,402,0,35.25,0.00135
glm-5.1,diabetes_0009_0006,18.674,3061,891,0,47.71,0.00574
glm-5.1,diabetes_0009_0005,18.3617,2402,1202,0,65.46,0.00606
glm-5.1,chronische nierschade_0010_0003,21.0198,3280,1392,0,66.22,0.0075
glm-5.1,diabetes_0009_0012,11.5049,2570,661,0,57.45,0.00455
glm-5.1,angst_0008_0002,11.8661,1849,834,0,70.28,0.00438
glm-5.1,COPD_0007_0004,18.3038,719,763,0,41.69,0.00305
glm-5.1,influenza_0001_0001,14.7855,682,896,0,60.6,0.00343
glm-5.1,COPD_0003_0002,12.9812,5390,1032,0,79.5,0.00846
glm-5.1,depressie_0010_0001,19.0238,2410,1606,0,84.42,0.00731
glm-5.1,angst_0008_0008,6.5063,2862,593,0,91.14,0.00463
glm-5.1,chronische nierschade_0011_0001,11.3898,3040,1080,0,94.82,0.00631
glm-5.1,chronische nierschade_0010_0001,35.785,2800,2224,0,62.15,0.00959
glm-5.1,COPD_0006_0004,7.627,2377,1193,0,156.42,0.006
glm-5.1,depressie_0007_0002,12.9414,2384,1426,0,110.19,0.00673
glm-5.1,diabetes_0009_0015,71.7986,2402,1906,0,26.55,0.00822
glm-5.1,dementie_0011_0001,57.003,1548,1489,0,26.12,0.0061
glm-5.1,angst_0007_0001,20.7248,941,1783,0,86.03,0.00641
glm-5.1,angst_0006_0001,44.7181,2826,2693,0,60.22,0.01106
glm-5.1,dementie_0002_0003,50.8114,1056,1636,0,32.2,0.00607
glm-5.1,hand-en-polsklachten_0010_0002,6.2548,1344,659,0,105.36,0.00335
glm-5.1,hartfalen_0007_0002,15.3515,1883,863,0,56.22,0.0045
glm-5.1,COPD_0003_0001,9.8759,1317,609,0,61.67,0.00317
glm-5.1,chronische nierschade_0001_0001,33.7743,2750,667,0,19.75,0.00475
glm-5.1,dementie_0011_0003,13.1518,1842,641,0,48.74,0.00378
glm-5.1,depressie_0008_0003,26.2744,2011,681,0,25.92,0.00407
glm-5.1,angst_0008_0004,13.6872,2543,802,0,58.59,0.00496
glm-5.1,hartfalen_0005_0001,105.4159,11053,2253,0,21.37,0.01777
glm-5.1,chronische nierschade_0007_0001,27.7128,7688,1701,0,61.38,0.01277
glm-5.1,depressie_0009_0007,19.2178,1740,919,0,47.82,0.00454
glm-5.1,COPD_0006_0002,9.3009,2763,1053,0,113.22,0.00595
glm-5.1,hartfalen_0006_0001,26.6144,2006,867,0,32.58,0.00464
glm-5.1,angst_0006_0002,47.2525,2705,1704,0,36.06,0.0079
glm-5.1,hartfalen_0008_0003,10.4386,11556,766,0,73.38,0.01368
glm-5.1,chronische nierschade_0006_0001,19.8426,1954,1142,0,57.55,0.00543
glm-5.1,hartfalen_0007_0006,19.8748,1413,1046,0,52.63,0.00461
glm-5.1,dementie_0002_0006,33.2004,633,1666,0,50.18,0.00575
glm-5.1,dementie_0004_0001,15.369,1472,672,0,43.72,0.00351
glm-5.1,hartfalen_0011_0001,8.2672,1252,965,0,116.73,0.0042
glm-5.1,COPD_0011_0001,30.3071,3187,1957,0,64.57,0.00915
glm-5.1,angst_0009_0002,24.2099,2306,1431,0,59.11,0.00667
glm-5.1,chronische nierschade_0008_0003,18.178,2463,1465,0,80.59,0.00693
glm-5.1,depressie_0006_0001,44.5474,1109,2296,0,51.54,0.00816
glm-5.1,dementie_0012_0001,11.1661,1265,737,0,66.0,0.00351
glm-5.1,depressie_0005_0001,25.6613,2466,1432,0,55.8,0.00683
glm-5.1,diabetes_0009_0016,30.4704,1683,1555,0,51.03,0.00644
glm-5.1,influenza_0008_0001,21.3516,2537,1619,0,75.83,0.00747
glm-5.1,depressie_0002_0001,7.0162,1602,687,0,97.92,0.00369
glm-5.1,COPD_0012_0001,37.9423,1042,1919,0,50.58,0.00693
glm-5.1,hartfalen_0007_0004,22.3513,1650,969,0,43.35,0.0046
glm-5.1,astma_bij_volwassenen_0008_0005,16.3032,867,553,0,33.92,0.00255
glm-5.1,dementie_0002_0005,16.3577,2182,816,0,49.88,0.00465
glm-5.1,COPD_0010_0003,16.9549,5340,1760,0,103.8,0.01065
glm-5.1,hartfalen_0011_0002,17.8174,1742,1490,0,83.63,0.0063
glm-5.1,COPD_0006_0003,10.971,2274,1783,0,162.52,0.00772
glm-5.1,angst_0008_0003,29.3179,714,1243,0,42.4,0.00453
glm-5.1,dementie_0002_0002,12.4656,2201,432,0,34.66,0.00349
glm-5.1,depressie_0003_0002,19.6933,2653,1479,0,75.1,0.00716
glm-5.1,chronische nierschade_0004_0002,40.8102,918,662,0,16.22,0.00294
glm-5.1,COPD_0007_0003,16.205,1523,921,0,56.83,0.00433
glm-5.1,influenza_0011_0001,11.6781,315,685,0,58.66,0.00242
glm-5.1,hand-en-polsklachten_0012_0002,31.759,30,1718,0,54.09,0.00532
glm-5.1,hartfalen_0007_0001,46.4997,1067,2057,0,44.24,0.00738
glm-5.1,dementie_0002_0004,33.9242,1514,1401,0,41.3,0.0058
glm-5.1,hartfalen_0008_0002,17.4628,10612,1040,0,59.56,0.0136
glm-5.1,depressie_0001_0001,48.8631,2581,2992,0,61.23,0.01174
glm-5.1,hand-en-polsklachten_0010_0005,30.0299,1052,1565,0,52.11,0.00585
